Steps	Token	MedianRank	MeanSurprisal	StdevSurprisal	MeanNegSurprisal	StdevNegSurprisal	Accuracy	NumExamples
180000	exploring	18	6.972376823425293	nan	16.704280853271484	nan	0.0	1
180000	fined	0	0.031886424869298935	nan	22.72676658630371	nan	1.0	1
180000	of	0	0.5150365829467773	1.2079572677612305	16.721670150756836	4.902775287628174	0.91796875	512
180000	sob	527	13.173951148986816	nan	22.69161033630371	nan	0.0	1
180000	the	0	0.5401648283004761	0.9514678120613098	14.878149032592773	5.700922966003418	0.904296875	512
180000	variable	6152	18.091371536254883	nan	22.97444725036621	nan	0.0	1
180000	with	0	1.687546730041504	2.072075843811035	17.37009048461914	5.48414421081543	0.64453125	512
200000	a	0	0.918889582157135	1.6465439796447754	17.364370346069336	5.527119159698486	0.802734375	512
200000	by	0	1.275591254234314	2.2517752647399902	18.326915740966797	5.357618808746338	0.7578125	512
200000	constraint	842	14.673226356506348	nan	29.889692306518555	nan	0.0	1
200000	exploring	14	6.6871418952941895	nan	16.799509048461914	nan	0.0	1
200000	fined	0	0.03415865823626518	nan	23.918310165405273	nan	1.0	1
200000	of	0	0.39100900292396545	1.0844544172286987	16.571575164794922	4.990734100341797	0.931640625	512
200000	sob	449	12.505879402160645	nan	18.928152084350586	nan	0.0	1
200000	the	0	0.5277883410453796	0.976858913898468	15.459723472595215	5.852353096008301	0.888671875	512
200000	variable	6483	18.256187438964844	nan	20.352590560913086	nan	0.0	1
200000	with	0	1.4951223134994507	2.027773141860962	17.532190322875977	5.62416410446167	0.681640625	512
300000	a	0	0.8762209415435791	1.648059606552124	17.732181549072266	5.520569324493408	0.80859375	512
300000	by	0	1.0212059020996094	2.07193922996521	18.025096893310547	5.564144611358643	0.810546875	512
300000	constraint	1061	15.208754539489746	nan	29.892885208129883	nan	0.0	1
300000	exploring	35	8.925180435180664	nan	17.42327308654785	nan	0.0	1
300000	fined	0	0.014808288775384426	nan	27.652267456054688	nan	1.0	1
300000	of	0	0.37179484963417053	1.0522493124008179	16.722774505615234	4.8411173820495605	0.9375	512
300000	sob	1426	14.993273735046387	nan	22.553428649902344	nan	0.0	1
300000	the	0	0.4522310495376587	0.8776116967201233	15.431941986083984	5.684637546539307	0.912109375	512
300000	variable	5693	17.61076545715332	nan	24.622615814208984	nan	0.0	1
300000	with	0	1.3670001029968262	1.9127141237258911	17.614177703857422	5.7026286125183105	0.70703125	512
